Project Category,Product Category,Insight Category,Number of records,Link
All in One – PC,Desktop,All-in-One Computers,549,https://www.insight.com/en_US/shop/category/desktops/store.html?country=US&q=*%3A*&instockOnly=false&searchType=category&start=0&salesOrg=2400&sessionId=7E4D2A0C6650A5A7644CB1019B5D0FFE.appprd6-2&lang=en_US&category=hardware%2Fcomputers%2Fdesktops%2Fall_in_one_computers&rows=100&userSegment=CES&tabType=products
Alternative inks,Alternative inks,Laser Drums,161,https://www.insight.com/en_US/shop/category/printers-and-print-supplies/store.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fprinters%2Fprinter_supplies_and_accessories%2Flaser_drums&rows=100&userSegment=CES&tabType=products
Alternative Inks,Alternative inks,Printer Ribbons,424,https://www.insight.com/en_US/shop/category/printers-and-print-supplies/store.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fprinters%2Fprinter_supplies_and_accessories%2Fprinter_ribbons&rows=100&userSegment=CES&tabType=products
Barcode Printer,Barcode Printer,Barcode Printer,191,https://www.insight.com/en_US/search.html?country=US&q=barcode+printer&instockOnly=false&start=0&salesOrg=2400&sessionId=FD32E7BAE47F1D15F6608C4BCB384CE3.appprd6-2&lang=en_US&rows=100&userSegment=CES&tabType=products
Barcode Scanner,Barcode Scanner,Barcode Scanner,884,https://www.insight.com/en_US/search.html?country=US&q=barcode+scanner&instockOnly=false&selectedFacet=CategoryPath_en_US_ss_lowest_s%3A%22Barcode+Scanners%22&start=0&salesOrg=2400&sessionId=FD32E7BAE47F1D15F6608C4BCB384CE3.appprd6-2%2CFD32E7BAE47F1D15F6608C4BCB384CE3.appprd6-2%2CFD32E7BAE47F1D15F6608C4BCB384CE3.appprd6-2&lang=en_US&rows=100&userSegment=CES%2CCES%2CCES&tabType=products
Inks,Inks,Maintenance Kits and Waste Toner,70,https://www.insight.com/en_US/shop/category/printers-and-print-supplies/store.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fprinters%2Fprinter_supplies_and_accessories%2Fmaintenance_kits_and_waste_toner&rows=100&userSegment=CES&tabType=products
Inks,Inks,Printer Fuser Kits,106,https://www.insight.com/en_US/shop/category/printers-and-print-supplies/store.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fprinters%2Fprinter_supplies_and_accessories%2Fprinter_fuser_kits&rows=100&userSegment=CES&tabType=products
Inks,Inks,Printheads,209,https://www.insight.com/en_US/shop/category/printers-and-print-supplies/store.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fprinters%2Fprinter_supplies_and_accessories%2Fprintheads&rows=100&userSegment=CES&tabType=products
"Inks, alternative inks","Inks, alternative inks",Toner Cartridges,"2,380",https://www.insight.com/en_US/shop/category/printers-and-print-supplies/store.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fprinters%2Fprinter_supplies_and_accessories%2Fink_and_toners%2Ftoner_cartridges&rows=100&userSegment=CES&tabType=products
"Inks, alternative inks","Inks, alternative inks",Ink and Toners,"2,285",https://www.insight.com/en_US/shop/category/printers-and-print-supplies/store.html?country=US&q=*%3A*&instockOnly=false&selectedFacet=CategoryPath_en_US_ss_lowest_s%3A%22Ink+and+Toners%22&start=0&salesOrg=2400&sessionId=A960B5B9FEC120695FDF0CB0CECCA974.appprd6-1%2CFD32E7BAE47F1D15F6608C4BCB384CE3.appprd6-2%2CFD32E7BAE47F1D15F6608C4BCB384CE3.appprd6-2&lang=en_US&category=hardware%2Fprinters%2Fprinter_supplies_and_accessories&rows=100&userSegment=CES%2CCES&tabType=products
